Years of Experience,Promotion
7.49080237694725,1
19.01428612819832,1
14.639878836228101,1
11.973169683940732,1
3.1203728088487304,0
3.119890406724053,0
1.1616722433639892,0
17.323522915498703,1
12.022300234864176,1
14.161451555920909,1
0.41168988591604894,0
19.398197043239886,1
16.648852816008436,1
4.246782213565523,0
3.6364993441420124,0
3.6680901970686763,0
6.0848448591907545,0
10.495128632644757,1
8.638900372842315,0
5.824582803960839,0
12.23705789444759,1
2.7898772130408367,0
5.842892970704363,0
7.327236865873834,1
9.12139968434072,1
15.703519227860273,1
3.9934756431671947,0
10.284688768272233,0
11.84829137724085,1
0.9290082543999545,0
12.150897038028766,1
3.4104824737458306,0
1.3010318597055903,0
18.977710745066666,1
19.312640661491187,1
16.16794696232922,1
6.092275383467413,0
1.9534422801276774,0
13.684660530243137,1
8.803049874792027,0
2.4407646968955765,0
9.903538202225404,1
0.6877704223043679,0
18.186408041575643,1
5.175599632000338,0
13.25044568707964,1
6.2342215217882195,0
10.401360423556216,1
10.934205586865593,1
3.697089110510541,0
19.391692555291172,1
15.502656467222291,1
18.789978831283783,1
17.896547008552975,1
11.957999576221702,0
18.437484700462335,1
1.76985004103839,0
3.919657248382904,0
0.9045457782107613,0
6.506606615265287,0
7.773545793789641,0
5.426980635477918,0
16.57475018303859,1
7.135066533871786,0
5.618690193747615,0
10.85392166316497,1
2.818484499495253,0
16.043939615080795,1
1.4910128735954165,0
19.737738732010346,1
15.444895385933147,1
3.974313630683448,1
0.11044234247204798,0
16.309228569096682,1
14.137146876952343,1
14.580143360819747,1
15.425406933718914,1
1.4808930346818072,0
7.169314570885453,0
2.3173811905025943,0
17.26206851751187,1
12.465962536551158,1
6.617960497052984,0
1.2711670057204727,0
6.219646434313244,0
6.503666440534941,0
14.59212356676128,1
12.751149427104263,1
17.74425485152653,1
9.444298503238986,1
2.391884918766034,0
14.2648957444599,1
15.215700972337949,1
11.225543951389925,1
15.41934359909122,1
9.875911927287815,1
10.454656587639882,1
8.550820367170992,0
0.5083825348819038,0
2.157828539866089,0
